Customer  ,Name                               ,City                               ,Customer GST No   ,Transporter Nam,LR No                              ,LR Date,PO                  ,Internal Ref No     ,Invoice No      ,Inv Date,Carton No ,Brand   ,Product  ,Retek Class                   ,HSN Code        ,Material                                ,Grid              ,Size              ,Sleeve            ,EAN No            ,Quantity         ,MRP               ,WSP               ,CD%               ,CD Value          ,Discount %        ,Disc Value        ,Service Charge    ,CGST %            ,CGST Value        ,IGST %            ,IGST Value        ,SGST %            ,SGST Value        ,UGST %            ,UGST Value        ,Tax Amount        ,Invoice Amount       ,Unit MRP          ,Net Unit Cost        ,Plant,Material Description                    ,Fabric Base Type              ,Fabric Design Type            ,Product Type                  ,Color                         ,Category                      ,Fit Type                      ,Company Name                            ,Company GST No    ,Company Location    ,Unit Cost
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013773377                   ,20260527,9230920970 - 093350 ,9010290807,MSF2262000004296,20260527,54868427,PJ      ,FGJEANS  ,Jeans                         ,62034300,PJDNCBTP967991                          ,                  ,82,                  ,8909356451851,2,2625,3351,                  ,                  ,                  ,                  ,74,3,86,                  ,                  ,3,86,                  ,                  ,171,3596,2625,1798,C014 ,COPY OF PJDNG0180 GRIFFIN LOGO EMBR  082,50 Cotton48 Polyester2 Elastan,Solid                         ,A4                            ,Navy                          ,NA                            ,PJ RG BOOTCUTMIDSTR           ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,1676
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013773377                   ,20260527,9230920970 - 093350 ,9010290807,MSF2262000004296,20260527,54868427,PJ      ,FGJEANS  ,Jeans                         ,62034300,PJDNCBTP967991                          ,                  ,86,                  ,8909356451868,2,2625,3351,                  ,                  ,                  ,                  ,74,3,86,                  ,                  ,3,86,                  ,                  ,171,3596,2625,1798,C014 ,COPY OF PJDNG0180 GRIFFIN LOGO EMBR  086,50 Cotton48 Polyester2 Elastan,Solid                         ,A4                            ,Navy                          ,NA                            ,PJ RG BOOTCUTMIDSTR           ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,1676
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013773377                   ,20260527,9230920970 - 093350 ,9010290807,MSF2262000004296,20260527,54868427,PJ      ,FGJEANS  ,Jeans                         ,62034300,PJDNCBTP967991                          ,                  ,96,                  ,8909356451882,1,2625,1676,                  ,                  ,                  ,                  ,37,3,43,                  ,                  ,3,43,                  ,                  ,86,1798,2625,1798,C014 ,COPY OF PJDNG0180 GRIFFIN LOGO EMBR  096,50 Cotton48 Polyester2 Elastan,Solid                         ,A4                            ,Navy                          ,NA                            ,PJ RG BOOTCUTMIDSTR           ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,1676
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013773377                   ,20260527,9230920970 - 093350 ,9010290807,MSF2262000004296,20260527,54868427,PJ      ,FGJEANS  ,Jeans                         ,62034290,PJDNCBTPK79149Q                         ,                  ,76,                  ,8909356398989,1,2625,1676,                  ,                  ,                  ,                  ,37,3,43,                  ,                  ,3,43,                  ,                  ,86,1798,2625,1798,C014 ,AW25 ESSENTIALS PARETO 2599  076        ,98 Cotton2 Elastane           ,Solid                         ,A4                            ,BLACK                         ,NA                            ,PJ RG BOOTCUTMIDSTR           ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,1676
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013773377                   ,20260527,9230920970 - 093350 ,9010290807,MSF2262000004296,20260527,54868427,PJ      ,FGJEANS  ,Jeans                         ,62034290,PJDNCBTPK79149Q                         ,                  ,92,                  ,8909356399016,1,2625,1676,                  ,                  ,                  ,                  ,37,3,43,                  ,                  ,3,43,                  ,                  ,86,1798,2625,1798,C014 ,AW25 ESSENTIALS PARETO 2599  092        ,98 Cotton2 Elastane           ,Solid                         ,A4                            ,BLACK                         ,NA                            ,PJ RG BOOTCUTMIDSTR           ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,1676
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013773377                   ,20260527,9230920970 - 093350 ,9010290807,MSF2262000004296,20260527,54868427,PJ      ,FGJEANS  ,Jeans                         ,62034290,PJDNCOTP403105                          ,                  ,76,                  ,8909356024482,1,2399,1531,                  ,                  ,                  ,                  ,34,3,39,                  ,                  ,3,39,                  ,                  ,78,1643,2399,1643,C014 ,SS 24 JJ 014 BASIC  076                 ,70 Cotton28 Polyester2 Elastan,Solid                         ,A4                            ,BLACK                         ,NA                            ,PJ RG OCTANEMIDSTR            ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,1531
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013773377                   ,20260527,9230920970 - 093350 ,9010290807,MSF2262000004296,20260527,54868427,PJ      ,FGJEANS  ,Jeans                         ,62034290,PJDNCOTP403105                          ,                  ,82,                  ,8909356024499,2,2399,3063,                  ,                  ,                  ,                  ,67,3,78,                  ,                  ,3,78,                  ,                  ,157,3287,2399,1643,C014 ,SS 24 JJ 014 BASIC  082                 ,70 Cotton28 Polyester2 Elastan,Solid                         ,A4                            ,BLACK                         ,NA                            ,PJ RG OCTANEMIDSTR            ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,1531
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013773377                   ,20260527,9230920970 - 093350 ,9010290807,MSF2262000004296,20260527,54868427,PJ      ,FGJEANS  ,Jeans                         ,62034290,PJDNCOTP860789                          ,                  ,76,                  ,8909356024277,1,2399,1531,                  ,                  ,                  ,                  ,34,3,39,                  ,                  ,3,39,                  ,                  ,78,1643,2399,1643,C014 ,SS 24 JJ 014 BASIC  076                 ,70 Cotton28 Polyester2 Elastan,Solid                         ,A4                            ,BLACK                         ,NA                            ,PJ RG OCTANEMIDSTR            ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,1531
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013773377                   ,20260527,9230920970 - 093350 ,9010290807,MSF2262000004296,20260527,54868427,PJ      ,FGJEANS  ,Jeans                         ,62034290,PJDNCOTP860789                          ,                  ,82,                  ,8909356024284,1,2399,1531,                  ,                  ,                  ,                  ,34,3,39,                  ,                  ,3,39,                  ,                  ,78,1643,2399,1643,C014 ,SS 24 JJ 014 BASIC  082                 ,70 Cotton28 Polyester2 Elastan,Solid                         ,A4                            ,BLACK                         ,NA                            ,PJ RG OCTANEMIDSTR            ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,1531
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013773377                   ,20260527,9230920970 - 093350 ,9010290807,MSF2262000004296,20260527,54868427,PJ      ,FGJEANS  ,Jeans                         ,62034290,PJDNCOTPT05449                          ,                  ,96,                  ,8909356502201,1,2399,1531,                  ,                  ,                  ,                  ,34,3,39,                  ,                  ,3,39,                  ,                  ,78,1643,2399,1643,C014 ,COPY OF PJDNG0179 GRIFFIN LOGO EMBR  096,70 Cotton28 Polyester2 Spandex,Solid                         ,A4                            ,BLACK                         ,NA                            ,PJ RG OCTANEMIDSTR            ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,1531
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013774515                   ,20260529,9230925186 - 065748 ,9010307954,MSF2262000004473,20260529,55034475,N       ,FGTSHIRT ,T Shirt                       ,61091000,PCKCTRGF168428                          ,                  ,XXL               ,H                 ,8909356623616,1,1299,829,                  ,                  ,                  ,                  ,18,3,21,                  ,                  ,3,21,                  ,                  ,42,890,1299,890,C014 ,SS26 CREW 500  HALF SLEEVE  XXL         ,95 Cotton5 Spandex            ,PRINTS                        ,A4                            ,Dark Green                    ,NA                            ,PC RG Regular                 ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,829
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013774515                   ,20260529,9230925186 - 065748 ,9010307954,MSF2262000004473,20260529,55034475,N       ,FGTSHIRT ,T Shirt                       ,61091000,PCKPSRGFE81908                          ,                  ,XXL               ,H                 ,8905772569439,1,1399,893,                  ,                  ,                  ,                  ,20,3,23,                  ,                  ,3,23,                  ,                  ,46,958,1399,958,C014 ,POLO T SHIRT  HALF SLEEVE  XXL          ,96 Cotton4 Spandex            ,Solid                         ,A4                            ,YELLOW OCHRE                  ,NA                            ,PC RG Regular                 ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,893
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013774515                   ,20260529,9230925186 - 065748 ,9010307954,MSF2262000004473,20260529,55034475,N       ,FGTSHIRT ,T Shirt                       ,61091000,PCKPSSGBL69796                          ,                  ,XXL               ,H                 ,8905772571470,1,999,638,                  ,                  ,                  ,                  ,14,3,16,                  ,                  ,3,16,                  ,                  ,33,684,999,684,C014 ,POLO T SHIRT  HALF SLEEVE  XXL          ,60 Cotton40 Polyester         ,Solid                         ,A4                            ,LILAC                         ,NA                            ,PC SL Snug                    ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,638
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013774515                   ,20260529,9230925186 - 065748 ,9010307954,MSF2262000004473,20260529,55034475,N       ,FGTSHIRT ,T Shirt                       ,61051020,PCKPSSGBQ47582                          ,                  ,XXL               ,H                 ,8905772571654,1,999,638,                  ,                  ,                  ,                  ,14,3,16,                  ,                  ,3,16,                  ,                  ,33,684,999,684,C014 ,POLO T SHIRT  HALF SLEEVE  XXL          ,60 Cotton40 Polyester         ,Solid                         ,A4                            ,Light Green                   ,NA                            ,PC SL Snug                    ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,638
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013774515                   ,20260529,9230925186 - 065748 ,9010307954,MSF2262000004473,20260529,55034475,N       ,FGTSHIRT ,T Shirt                       ,61091000,PCKWSRGP491456                          ,                  ,XXL               ,H                 ,8909356617370,1,1299,829,                  ,                  ,                  ,                  ,18,3,21,                  ,                  ,3,21,                  ,                  ,42,890,1299,890,C014 ,SS20 NK 19  HALF SLEEVE  XXL            ,100 Cotton                    ,Stripe                        ,A4                            ,white                         ,NA                            ,PC RG Regular                 ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,829
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013774515                   ,20260529,9230925186 - 065748 ,9010307954,MSF2262000004473,20260529,55034475,N       ,FGTSHIRT ,T Shirt                       ,61091000,PCKWSRGPH11147                          ,                  ,XXL               ,H                 ,8909356618377,1,1299,829,                  ,                  ,                  ,                  ,18,3,21,                  ,                  ,3,21,                  ,                  ,42,890,1299,890,C014 ,SS26 STRIPE POLO 7017  HALF SLEEVE  XXL ,55 Cotton45 Polyester         ,Solid                         ,A4                            ,GOLD                          ,NA                            ,PC RG Regular                 ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,829
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013774515                   ,20260529,9230925186 - 065748 ,9010307954,MSF2262000004473,20260529,55034475,N       ,FGTSHIRT ,T Shirt                       ,61091000,PCKWSRGPI20021                          ,                  ,XXL               ,H                 ,8909356614171,1,1399,893,                  ,                  ,                  ,                  ,20,3,23,                  ,                  ,3,23,                  ,                  ,46,958,1399,958,C014 ,SS26 STRIPE POLO 7017  HALF SLEEVE  XXL ,96 Cotton4 Spandex            ,Solid                         ,A4                            ,Light Blue                    ,NA                            ,PC RG Regular                 ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,893
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013775720                   ,20260530,9230926839 - 072922 ,9010323913,MSF2262000004635,20260530,55137386,PJ      ,FGTSHIRT ,T Shirt                       ,61091000,PJKCARGFP07664                          ,                  ,XXL               ,H                 ,8909356622534,1,1299,829,                  ,                  ,                  ,                  ,18,3,21,                  ,                  ,3,21,                  ,                  ,42,890,1299,890,C014 ,SS25 GRIFFIN TRIBE 029  HALF SLEEVE  XXL,95 Cotton5 Spandex            ,PRINTS                        ,A4                            ,BLACK                         ,NA                            ,PC RG Regular                 ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,829
